#,Date,"Time,","Temp, °C (LGR S/N: 20641674, SEN S/N: 20641674, LBL: 2019_07_08_Aoa)","Intensity, lum/ft² (LGR S/N: 20641674, SEN S/N: 20641674)"
105,8/9/19,9:00:00,29.053,176
106,8/9/19,9:30:00,28.853,136
107,8/9/19,10:00:00,28.754,57
108,8/9/19,10:30:00,28.655,0
109,8/9/19,11:00:00,28.655,0
110,8/9/19,11:30:00,28.655,0
111,8/10/19,12:00:00,28.555,0
112,8/10/19,12:30:00,28.555,0
113,8/10/19,1:00:00,28.456,0
114,8/10/19,1:30:00,28.456,0
115,8/10/19,2:00:00,28.456,0
116,8/10/19,2:30:00,28.555,0
117,8/10/19,3:00:00,28.555,0
118,8/10/19,3:30:00,28.555,0
119,8/10/19,4:00:00,28.555,0
120,8/10/19,4:30:00,28.555,0
121,8/10/19,5:00:00,28.555,0
122,8/10/19,5:30:00,28.555,0
123,8/10/19,6:00:00,28.555,0
124,8/10/19,6:30:00,28.555,0
125,8/10/19,7:00:00,28.456,0
126,8/10/19,7:30:00,28.456,0
127,8/10/19,8:00:00,28.456,0
128,8/10/19,8:30:00,28.456,0
129,8/10/19,9:00:00,28.456,0
130,8/10/19,9:30:00,28.456,0
131,8/10/19,10:00:00,28.456,0
132,8/10/19,10:30:00,28.456,0
133,8/10/19,11:00:00,28.456,34
134,8/10/19,11:30:00,28.555,103
135,8/10/19,12:00:00,28.853,240
136,8/10/19,12:30:00,29.053,184
137,8/10/19,1:00:00,28.953,240
138,8/10/19,1:30:00,29.053,416
139,8/10/19,2:00:00,29.152,400
140,8/10/19,2:30:00,29.252,800
141,8/10/19,3:00:00,29.652,512
142,8/10/19,3:30:00,29.953,960
143,8/10/19,4:00:00,29.953,608
144,8/10/19,4:30:00,29.853,480
145,8/10/19,5:00:00,29.352,480
146,8/10/19,5:30:00,29.552,432
147,8/10/19,6:00:00,29.652,1216
148,8/10/19,6:30:00,29.552,1216
149,8/10/19,7:00:00,29.552,1088
150,8/10/19,7:30:00,29.552,1344
151,8/10/19,8:00:00,29.352,896
152,8/10/19,8:30:00,29.352,960
153,8/10/19,9:00:00,29.053,672
154,8/10/19,9:30:00,28.655,96
155,8/10/19,10:00:00,28.555,29
156,8/10/19,10:30:00,28.456,0
157,8/10/19,11:00:00,28.456,0
158,8/10/19,11:30:00,28.456,0
159,8/11/19,12:00:00,28.357,0
160,8/11/19,12:30:00,28.357,0
161,8/11/19,1:00:00,28.357,0
162,8/11/19,1:30:00,28.357,0
163,8/11/19,2:00:00,28.357,0
164,8/11/19,2:30:00,28.357,0
165,8/11/19,3:00:00,28.357,0
166,8/11/19,3:30:00,28.357,0
167,8/11/19,4:00:00,28.357,0
168,8/11/19,4:30:00,28.456,0
169,8/11/19,5:00:00,28.456,0
170,8/11/19,5:30:00,28.456,0
171,8/11/19,6:00:00,28.456,0
172,8/11/19,6:30:00,28.456,0
173,8/11/19,7:00:00,28.456,0
174,8/11/19,7:30:00,28.456,0
175,8/11/19,8:00:00,28.456,0
176,8/11/19,8:30:00,28.456,0
177,8/11/19,9:00:00,28.456,0
178,8/11/19,9:30:00,28.456,0
179,8/11/19,10:00:00,28.456,0
180,8/11/19,10:30:00,28.456,0
181,8/11/19,11:00:00,28.456,47
182,8/11/19,11:30:00,28.555,112
183,8/11/19,12:00:00,28.655,109
184,8/11/19,12:30:00,28.754,288
185,8/11/19,1:00:00,28.953,400
186,8/11/19,1:30:00,29.053,496
187,8/11/19,2:00:00,28.853,272
188,8/11/19,2:30:00,28.853,272
189,8/11/19,3:00:00,28.754,216
190,8/11/19,3:30:00,29.252,896
191,8/11/19,4:00:00,29.652,800
192,8/11/19,4:30:00,29.352,512
193,8/11/19,5:00:00,29.352,608
194,8/11/19,5:30:00,29.452,576
195,8/11/19,6:00:00,29.752,1344
196,8/11/19,6:30:00,29.352,512
197,8/11/19,7:00:00,29.352,800
198,8/11/19,7:30:00,29.552,2688
199,8/11/19,8:00:00,29.452,1920
200,8/11/19,8:30:00,29.053,576
201,8/11/19,9:00:00,28.853,224
202,8/11/19,9:30:00,28.655,121
203,8/11/19,10:00:00,28.555,22
204,8/11/19,10:30:00,28.555,0
205,8/11/19,11:00:00,28.555,0
206,8/11/19,11:30:00,28.555,0
207,8/12/19,12:00:00,28.555,0
208,8/12/19,12:30:00,28.555,0
209,8/12/19,1:00:00,28.555,0
210,8/12/19,1:30:00,28.456,0
211,8/12/19,2:00:00,28.456,0
212,8/12/19,2:30:00,28.456,0
213,8/12/19,3:00:00,28.456,0
214,8/12/19,3:30:00,28.456,0
215,8/12/19,4:00:00,28.456,0
216,8/12/19,4:30:00,28.456,0
217,8/12/19,5:00:00,28.456,0
218,8/12/19,5:30:00,28.456,0
219,8/12/19,6:00:00,28.456,0
220,8/12/19,6:30:00,28.456,0
221,8/12/19,7:00:00,28.456,0
222,8/12/19,7:30:00,28.456,0
223,8/12/19,8:00:00,28.456,0
224,8/12/19,8:30:00,28.456,0
225,8/12/19,9:00:00,28.456,0
226,8/12/19,9:30:00,28.456,0
227,8/12/19,10:00:00,28.456,0
228,8/12/19,10:30:00,28.456,0
229,8/12/19,11:00:00,28.456,21
230,8/12/19,11:30:00,28.456,40
231,8/12/19,12:00:00,28.655,168
232,8/12/19,12:30:00,29.053,448
233,8/12/19,1:00:00,28.853,384
234,8/12/19,1:30:00,29.752,608
235,8/12/19,2:00:00,29.252,704
236,8/12/19,2:30:00,29.853,1024
237,8/12/19,3:00:00,30.054,1024
238,8/12/19,3:30:00,30.054,1664
239,8/12/19,4:00:00,29.652,672
240,8/12/19,4:30:00,29.552,960
241,8/12/19,5:00:00,29.953,1536
242,8/12/19,5:30:00,29.752,1216
243,8/12/19,6:00:00,29.452,576
244,8/12/19,6:30:00,29.452,480
245,8/12/19,7:00:00,29.252,608
246,8/12/19,7:30:00,29.152,480
247,8/12/19,8:00:00,28.953,384
248,8/12/19,8:30:00,29.252,1536
249,8/12/19,9:00:00,28.953,1216
250,8/12/19,9:30:00,28.655,192
251,8/12/19,10:00:00,28.555,58
252,8/12/19,10:30:00,28.456,0
253,8/12/19,11:00:00,28.456,0
254,8/12/19,11:30:00,28.456,0
255,8/13/19,12:00:00,28.456,0
256,8/13/19,12:30:00,28.456,0
257,8/13/19,1:00:00,28.357,0
258,8/13/19,1:30:00,28.357,0
259,8/13/19,2:00:00,28.357,0
260,8/13/19,2:30:00,28.357,0
261,8/13/19,3:00:00,28.258,0
262,8/13/19,3:30:00,28.258,0
263,8/13/19,4:00:00,28.258,0
264,8/13/19,4:30:00,28.258,0
265,8/13/19,5:00:00,28.357,0
266,8/13/19,5:30:00,28.357,0
267,8/13/19,6:00:00,28.357,0
268,8/13/19,6:30:00,28.357,0
269,8/13/19,7:00:00,28.456,0
270,8/13/19,7:30:00,28.357,0
271,8/13/19,8:00:00,28.456,0
272,8/13/19,8:30:00,28.456,0
273,8/13/19,9:00:00,28.456,0
274,8/13/19,9:30:00,28.456,0
275,8/13/19,10:00:00,28.456,0
276,8/13/19,10:30:00,28.456,1
277,8/13/19,11:00:00,28.456,32
278,8/13/19,11:30:00,28.655,136
279,8/13/19,12:00:00,28.754,208
280,8/13/19,12:30:00,28.754,160
281,8/13/19,1:00:00,28.853,288
282,8/13/19,1:30:00,29.152,288
283,8/13/19,2:00:00,29.352,256
284,8/13/19,2:30:00,29.652,672
285,8/13/19,3:00:00,29.953,512
286,8/13/19,3:30:00,29.953,608
287,8/13/19,4:00:00,30.255,512
288,8/13/19,4:30:00,30.255,672
289,8/13/19,5:00:00,30.255,480
290,8/13/19,5:30:00,30.255,800
291,8/13/19,6:00:00,29.652,480
292,8/13/19,6:30:00,29.853,768
293,8/13/19,7:00:00,29.752,1152
294,8/13/19,7:30:00,30.154,1152
295,8/13/19,8:00:00,29.752,2432
296,8/13/19,8:30:00,29.352,1344
297,8/13/19,9:00:00,28.953,336
298,8/13/19,9:30:00,28.754,110
299,8/13/19,10:00:00,28.555,24
300,8/13/19,10:30:00,28.555,0
301,8/13/19,11:00:00,28.456,0
302,8/13/19,11:30:00,28.456,0
303,8/14/19,12:00:00,28.456,0
304,8/14/19,12:30:00,28.357,0
305,8/14/19,1:00:00,28.357,0
306,8/14/19,1:30:00,28.357,0
307,8/14/19,2:00:00,28.258,0
308,8/14/19,2:30:00,28.159,0
309,8/14/19,3:00:00,28.159,0
310,8/14/19,3:30:00,28.06,0
311,8/14/19,4:00:00,28.06,0
312,8/14/19,4:30:00,28.159,0
313,8/14/19,5:00:00,28.159,0
314,8/14/19,5:30:00,28.159,0
315,8/14/19,6:00:00,28.258,0
316,8/14/19,6:30:00,28.258,0
317,8/14/19,7:00:00,28.258,0
318,8/14/19,7:30:00,28.258,0
319,8/14/19,8:00:00,28.258,0
320,8/14/19,8:30:00,28.357,0
321,8/14/19,9:00:00,28.258,0
322,8/14/19,9:30:00,28.357,0
323,8/14/19,10:00:00,28.258,0
324,8/14/19,10:30:00,28.258,1
325,8/14/19,11:00:00,28.357,49
326,8/14/19,11:30:00,28.555,128
327,8/14/19,12:00:00,28.754,176
328,8/14/19,12:30:00,28.853,272
329,8/14/19,1:00:00,29.252,384
330,8/14/19,1:30:00,29.053,208
331,8/14/19,2:00:00,29.352,576
332,8/14/19,2:30:00,29.152,672
333,8/14/19,3:00:00,29.752,800
334,8/14/19,3:30:00,29.552,992
335,8/14/19,4:00:00,29.752,496
336,8/14/19,4:30:00,29.953,288
337,8/14/19,5:00:00,29.953,960
338,8/14/19,5:30:00,29.752,864
339,8/14/19,6:00:00,29.752,512
340,8/14/19,6:30:00,29.752,1088
341,8/14/19,7:00:00,29.552,432
342,8/14/19,7:30:00,29.752,1664
343,8/14/19,8:00:00,29.452,576
344,8/14/19,8:30:00,29.252,1984
345,8/14/19,9:00:00,28.953,304
346,8/14/19,9:30:00,28.655,101
347,8/14/19,10:00:00,28.555,28
348,8/14/19,10:30:00,28.456,0
349,8/14/19,11:00:00,28.456,0
350,8/14/19,11:30:00,28.456,0
351,8/15/19,12:00:00,28.357,0
352,8/15/19,12:30:00,28.357,0
353,8/15/19,1:00:00,28.357,0
354,8/15/19,1:30:00,28.357,0
355,8/15/19,2:00:00,28.357,0
356,8/15/19,2:30:00,28.258,0
357,8/15/19,3:00:00,28.258,0
358,8/15/19,3:30:00,28.159,0
359,8/15/19,4:00:00,28.06,0
360,8/15/19,4:30:00,27.961,0
361,8/15/19,5:00:00,27.961,0
362,8/15/19,5:30:00,27.961,0
363,8/15/19,6:00:00,27.961,0
364,8/15/19,6:30:00,28.06,0
365,8/15/19,7:00:00,28.159,0
366,8/15/19,7:30:00,28.258,0
367,8/15/19,8:00:00,28.258,0
368,8/15/19,8:30:00,28.258,0
369,8/15/19,9:00:00,28.258,0
370,8/15/19,9:30:00,28.258,0
371,8/15/19,10:00:00,28.258,0
372,8/15/19,10:30:00,28.357,0
373,8/15/19,11:00:00,28.357,14
374,8/15/19,11:30:00,28.357,55
375,8/15/19,12:00:00,28.456,75
376,8/15/19,12:30:00,28.655,136
377,8/15/19,1:00:00,28.555,110
378,8/15/19,1:30:00,29.152,288
379,8/15/19,2:00:00,28.853,232
380,8/15/19,2:30:00,29.053,448
381,8/15/19,3:00:00,29.752,480
382,8/15/19,3:30:00,30.054,512
383,8/15/19,4:00:00,30.154,432
384,8/15/19,4:30:00,30.457,768
385,8/15/19,5:00:00,30.659,1024
386,8/15/19,5:30:00,30.558,896
387,8/15/19,6:00:00,30.154,512
388,8/15/19,6:30:00,29.552,432
389,8/15/19,7:00:00,29.252,352
390,8/15/19,7:30:00,28.953,248
391,8/15/19,8:00:00,28.853,184
392,8/15/19,8:30:00,28.754,136
393,8/15/19,9:00:00,28.655,168
394,8/15/19,9:30:00,28.655,128
395,8/15/19,10:00:00,28.555,13
396,8/15/19,10:30:00,28.456,0
397,8/15/19,11:00:00,28.456,0
398,8/15/19,11:30:00,28.456,0
399,8/16/19,12:00:00,28.456,0
400,8/16/19,12:30:00,28.456,0
401,8/16/19,1:00:00,28.456,0
402,8/16/19,1:30:00,28.357,0
403,8/16/19,2:00:00,28.357,0
404,8/16/19,2:30:00,28.456,0
405,8/16/19,3:00:00,28.357,0
406,8/16/19,3:30:00,28.258,0
407,8/16/19,4:00:00,28.258,0
408,8/16/19,4:30:00,28.258,0
409,8/16/19,5:00:00,28.258,0
410,8/16/19,5:30:00,28.06,0
411,8/16/19,6:00:00,27.862,0
412,8/16/19,6:30:00,27.961,0
413,8/16/19,7:00:00,28.06,0
414,8/16/19,7:30:00,28.159,0
415,8/16/19,8:00:00,28.258,0
416,8/16/19,8:30:00,28.258,0
417,8/16/19,9:00:00,28.357,0
418,8/16/19,9:30:00,28.357,0
419,8/16/19,10:00:00,28.357,0
420,8/16/19,10:30:00,28.357,0
421,8/16/19,11:00:00,28.357,2
422,8/16/19,11:30:00,28.456,0
423,8/16/19,12:00:00,28.456,2
424,8/16/19,12:30:00,28.258,3
425,8/16/19,1:00:00,28.357,10
426,8/16/19,1:30:00,28.357,15
427,8/16/19,2:00:00,28.06,20
428,8/16/19,2:30:00,28.06,24
429,8/16/19,3:00:00,28.06,23
430,8/16/19,3:30:00,28.06,184
431,8/16/19,4:00:00,28.159,256
432,8/16/19,4:30:00,28.357,224
433,8/16/19,5:00:00,28.456,384
434,8/16/19,5:30:00,28.655,448
435,8/16/19,6:00:00,28.853,576
436,8/16/19,6:30:00,28.754,480
437,8/16/19,7:00:00,28.754,384
438,8/16/19,7:30:00,28.754,432
439,8/16/19,8:00:00,28.754,352
440,8/16/19,8:30:00,28.655,144
441,8/16/19,9:00:00,28.555,68
442,8/16/19,9:30:00,28.456,53
443,8/16/19,10:00:00,28.456,11
444,8/16/19,10:30:00,28.456,0
445,8/16/19,11:00:00,28.456,0
446,8/16/19,11:30:00,28.456,0
447,8/17/19,12:00:00,28.456,0
448,8/17/19,12:30:00,28.456,0
449,8/17/19,1:00:00,28.456,0
450,8/17/19,1:30:00,28.456,0
451,8/17/19,2:00:00,28.456,0
452,8/17/19,2:30:00,28.456,0
453,8/17/19,3:00:00,28.456,0
454,8/17/19,3:30:00,28.456,0
455,8/17/19,4:00:00,28.357,0
456,8/17/19,4:30:00,28.357,0
457,8/17/19,5:00:00,28.456,0
458,8/17/19,5:30:00,28.357,0
459,8/17/19,6:00:00,28.357,0
460,8/17/19,6:30:00,28.357,0
461,8/17/19,7:00:00,28.456,0
462,8/17/19,7:30:00,28.357,0
463,8/17/19,8:00:00,28.456,0
464,8/17/19,8:30:00,28.456,0
465,8/17/19,9:00:00,28.456,0
466,8/17/19,9:30:00,28.456,0
467,8/17/19,10:00:00,28.456,0
468,8/17/19,10:30:00,28.456,0
469,8/17/19,11:00:00,28.456,28
470,8/17/19,11:30:00,28.555,66
471,8/17/19,12:00:00,28.853,144
472,8/17/19,12:30:00,28.953,115
473,8/17/19,1:00:00,29.152,232
474,8/17/19,1:30:00,29.452,272
475,8/17/19,2:00:00,29.552,304
476,8/17/19,2:30:00,29.652,464
477,8/17/19,3:00:00,29.752,400
478,8/17/19,3:30:00,29.953,480
479,8/17/19,4:00:00,30.255,1088
480,8/17/19,4:30:00,30.356,992
481,8/17/19,5:00:00,30.659,992
482,8/17/19,5:30:00,30.558,800
483,8/17/19,6:00:00,30.154,512
484,8/17/19,6:30:00,30.054,400
485,8/17/19,7:00:00,30.054,480
486,8/17/19,7:30:00,29.953,160
487,8/17/19,8:00:00,28.655,2
488,8/17/19,8:30:00,28.853,0
489,8/17/19,9:00:00,30.054,0
490,8/17/19,9:30:00,30.457,2
491,8/17/19,10:00:00,29.053,0
492,8/17/19,10:30:00,28.159,0
